test,arch,platform,reason
testing.ztest,arm,frdm_k64f,Not in testcase platform allow list
testing.ztest,riscv32,m2gl025_miv,Not in testcase platform allow list
testing.ztest,arm,mps2_an385,Not in testcase platform allow list
testing.ztest,arm,mps2_an521,Not in testcase platform allow list
testing.ztest,arm,mps2_an521_ns,Not in testcase platform allow list
testing.ztest,arm,mps2_an521_remote,Not in testcase platform allow list
testing.ztest,arm,mps3_an547_ns,Not in testcase platform allow list
testing.ztest,arc,nsim_hs_mpuv6,Not in testcase platform allow list
testing.ztest,arc,nsim_hs_smp,Not in testcase platform allow list
testing.ztest,arc,nsim_sem,Not in testcase platform allow list
testing.ztest,arc,qemu_arc_em,Not in testcase platform allow list
testing.ztest,arc,qemu_arc_hs,Not in testcase platform allow list
testing.ztest,arc,qemu_arc_hs6x,Not in testcase platform allow list
testing.ztest,arm64,qemu_cortex_a53,Not in testcase platform allow list
testing.ztest,arm64,qemu_cortex_a53_smp,Not in testcase platform allow list
testing.ztest,arm64,qemu_cortex_a53_xip,Not in testcase platform allow list
testing.ztest,arm,qemu_cortex_a9,Not in testcase platform allow list
testing.ztest,arm,qemu_cortex_m0,Not in testcase platform allow list
testing.ztest,arm,qemu_cortex_r5,Not in testcase platform allow list
testing.ztest,sparc,qemu_leon3,Not in testcase platform allow list
testing.ztest,mips,qemu_malta,Not in testcase platform allow list
testing.ztest,mips,qemu_malta_be,Not in testcase platform allow list
testing.ztest,nios2,qemu_nios2,Not in testcase platform allow list
testing.ztest,riscv32,qemu_riscv32,Not in testcase platform allow list
testing.ztest,riscv32,qemu_riscv32_smp,Not in testcase platform allow list
testing.ztest,riscv32,qemu_riscv32_xip,Not in testcase platform allow list
testing.ztest,riscv64,qemu_riscv64,Not in testcase platform allow list
testing.ztest,riscv64,qemu_riscv64_smp,Not in testcase platform allow list
testing.ztest,x86,qemu_x86,Not in testcase platform allow list
testing.ztest,x86,qemu_x86_64,Not in testcase platform allow list
testing.ztest,x86,qemu_x86_64_nokpti,Not in testcase platform allow list
testing.ztest,x86,qemu_x86_lakemont,Not in testcase platform allow list
testing.ztest,x86,qemu_x86_nokpti,Not in testcase platform allow list
testing.ztest,x86,qemu_x86_nommu,Not in testcase platform allow list
testing.ztest,x86,qemu_x86_nopae,Not in testcase platform allow list
testing.ztest,x86,qemu_x86_tiny,Not in testcase platform allow list
testing.ztest,x86,qemu_x86_virt,Not in testcase platform allow list
testing.ztest,x86,qemu_x86_xip,Not in testcase platform allow list
testing.ztest,xtensa,qemu_xtensa,Not in testcase platform allow list
testing.ztest,xtensa,xt-sim,Not in testcase platform allow list
